,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,outcome,outcome,outcome,outcome,outcome,error,error,error,error,error
,$\tau_\star$,$\gamma_d$,$\gamma_p$,"$b_{0,0}$","$b_{0,1}$","$b_{1,0}$","$b_{1,1}$","$a_{0,0}$","$a_{0,1}$","$a_{1,0}$","$a_{1,1}$",mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02,mrk97_01,mrk97_02,mrk97_07,mrk97_08,sjh06_02
4efdb334178c49c0277c412ec82e7e01,283.4479221399897,103.38725142389221,233.90357450202566,1.082999681494033,1.947833679765654,1.1593870631263585,2.4656223633855907,3.1237840558359276,2.3952385106658154,4.863288044056189,1.8049219430989316,1.1980790490473594,1.246850722902208,1.3856482945468105,1.130074280105757,1.4669550352557712,5.236976226183984,3.174012694665861,2.944860935252563,13.04533900022228,4.521722613953013
75e9b5cb9e51dcd634acae6c4451dd3d,327.6183757410692,91.8102708103848,120.08449663734632,1.346053962764762,4.991414467568568,1.4318817689688155,2.8865249511204714,9.406574682979528,4.10802645788831,9.484895012953562,4.140486696760656,0.9877188828142295,1.0693718029621673,1.1536705543689971,1.051573507505912,1.1956791233649566,0.02202792964426381,0.7327620765084907,0.7608537640735289,10.014421139224403,1.5075458151661842
b0dd550689f59fa2f6d84cec23791e2b,281.9927992409045,96.39241793713796,241.8473782947786,1.0003196326765598,1.8014580482581621,1.21432658479144,2.8407410491848486,6.262429274526314,1.4800212361300569,9.48674613992677,1.6383770086504386,0.8901294107935266,0.8482803449028973,1.0800328944630948,0.7824398438813759,1.0645811857798109,2.461764730161836,2.3083859022985243,1.937174209854716,0.37684000458008227,0.05090206422012016
0b79e2c0d3ede7cc71c426e01aede100,295.33688825533716,96.66692956541448,208.58138263109868,1.0027629567003638,1.9205843618695775,1.15937843253169,2.6402300577875213,1.0091287039222265,2.484903433165651,5.669074534229852,1.7885427264348164,0.9380725457834412,0.9716352135495961,1.1386502319887957,0.7956268634725803,1.0243256400850422,1.26318635541397,0.6116201712572745,1.0007950161534243,0.13231133098765463,0.3963817768328647
ead5b5151d14175dbb5b38f577c8b87f,265.3640313352115,71.29571638505554,214.5393236023328,1.0093771662396038,1.167264464812346,1.1571662366549131,2.603050865602091,1.6448714509339328,2.1658104077993947,5.644200593002314,1.2835361984892733,1.070729513093372,1.0869175216330675,1.252594787544573,0.9724134749593568,1.309593275413247,2.0532378273343004,0.9741062122842853,0.8194055518302406,6.958049226229993,2.773258615702745
0c44cec0ea6870031ec9cf4d84ab121e,269.14165348479,96.74935410119191,210.88575692103254,1.1974213013171229,1.4624347659216301,1.1593868794419775,2.7256925821735605,1.074471567170754,2.4065121683396584,5.517189553664171,1.4801451964887584,1.2343424180401106,1.2468565767418407,1.2893696923386344,1.0775325693952487,1.142602427223714,6.143560451002763,3.174093215155993,1.4068640948663638,11.016701521052072,0.9178047469301559
6381b696f6b64b436d4e824c933273c3,228.54389125101494,126.66002800948239,227.22905322667424,1.0595472350514459,4.64326997257133,1.6470837842933839,1.8700442745530705,1.1379785562742857,1.7800487674991192,9.223412491458928,4.498889819022294,0.776290747824039,0.6875885441461688,0.6925836066351355,0.7319086683118438,0.6731381857368544,5.307731304399027,4.518727040630416,8.126459957905183,2.3278506443303577,4.298464602923842
c63d49649521c640b94c844db17b0733,269.00554674775196,96.1399908056305,232.34603019310288,3.7936004993138113,1.9855001621223438,1.6410839913859214,2.793249653134857,5.774789171765592,1.4924471403123896,10.302848233142262,1.0992022271383348,1.0180202484442125,1.0955842004500247,1.2143894061350387,1.0713223503298184,1.0640090159818232,0.7355062111053107,1.0933177503442186,0.2090959446491792,10.776924723159011,0.044544622020256976
de8a59a7cc80ecdc28c54a117af9f20c,285.4808139436414,96.66692956541448,208.23320541745738,1.009380592088192,1.9276737385729659,1.1593784097709696,2.4690984043524713,1.074471567170754,2.4754537579102593,5.517189553664171,1.709177795284607,0.9933524000526397,1.0051692567761734,1.1786553810226696,0.8277531394396136,1.0736304384899669,0.11881000131599151,0.15035410211590905,0.36173512743339276,1.3727080864715668,0.1514493165551868
a970bad8c563dad8429295ca9cc9ba1c,329.4849843542722,75.95897006414694,186.12348485694304,4.400054222720306,4.047301660281125,1.7880747097108656,1.2748149102073227,5.296761488991999,1.4667870272593917,4.878788433904251,2.8223717271973925,1.0018873912869166,1.1257751605032822,1.2407182954539058,1.1292033868928526,1.0134091872189521,0.3321847821729146,1.508599181613235,0.6296852308930628,13.011713779646819,0.5176756975671992
e7cf5f505015f396c4279d257140724f,254.2863745779409,107.56507021733447,224.43273855899304,1.0059030629904853,2.110262568734505,1.1593782403574862,2.287607172621904,1.1712637453842483,2.0371297863241513,4.396722798005436,2.308849363857388,1.0115191744972682,0.9668069325273848,1.1676685794957586,0.8421056363863034,0.8764372947451107,0.5729793624317053,0.6780339404761374,0.5372431390453897,1.9268585477337223,2.0395856139432156
3355e6d7b379c81d2ecb184e3f74d908,296.4080766257691,97.79457181855152,236.67501314534633,1.0602447108148862,1.9284970488595117,1.2539928809127656,2.446529667985445,1.0469135438823327,2.4056398694479255,5.6256020053033255,1.7885658222422078,0.9508114264706033,0.8531803613753426,1.0686935523124261,0.7610891972053748,1.0496960937224078,0.9447143382349171,2.24098540061427,2.1183138608238643,1.2011892970897757,0.11448784752880285
2de70956aa0ef1cb8adbd45c6dfe73ab,254.32553879983305,114.57719415476376,233.90357450202566,1.0032715405174633,1.5605561866356579,1.1593870631263585,2.684733968596047,3.361349619429972,2.4621341133860164,4.958170902060803,1.7876490806616587,0.9156740321910154,0.8736012237504983,1.087328251550478,0.8036985850477079,1.468497962679715,1.823149195224616,1.960093208383792,1.8206349592575393,0.4439608126528125,4.538866251996833
