pre_gid,post_gid,freq_hz,delay_ms,n_synapses,n_potentiated_initial,n_potentiated_final,n_0to1,n_1to0,initial_rho_array,final_rho_array,initial_rho_bin,final_rho_bin,mean_epsp_before,mean_epsp_after,epsp_ratio
192816,200992,10.0,-50.0,6,3,2,1,2,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 0.247773, 0.569216, 0.441025]","[1, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 1, 0]",1.8831528294415765,1.5833496490151564,0.8472359249088279
193467,199529,10.0,-50.0,5,2,3,2,1,"[0.0, 1.0, 1.0, 0.0, 0.0]","[0.557259, 0.523643, 0.410417, 0.282692, 0.529767]","[0, 1, 1, 0, 0]","[1, 1, 0, 0, 1]",0.5985732774030423,0.9666083865039539,1.6231769833669016
193481,196243,10.0,-50.0,30,14,6,0,8,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[0.534404, 0.447216, 0.0, 0.0, 0.516655, 0.358185, 0.411071, 0.138802, 0.26902, 0.0, 0.0, 0.295324, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.424029, 0.203526, 0.407468, 0.256058, 0.140251, 0.308214, 0.733952, 0.356551, 0.445005, 0.0, 0.621127, 0.641235]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",5.562472890855041,3.289322382870724,0.5999532405559889
193709,181631,10.0,-50.0,9,5,3,0,2,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[0.594293, 0.0, 0.474234, 0.27854, 0.0, 0.0, 0.504159, 0.0, 0.535966]","[1, 0, 1, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 0, 1]",1.7931513759953182,1.2897825238985134,0.7282414061502256
194277,200870,10.0,-50.0,5,2,0,0,2,"[1.0, 0.0, 0.0, 0.0, 1.0]","[0.461923, 0.0, 0.0, 0.0, 0.169862]","[1, 0, 0, 0, 1]","[0, 0, 0, 0, 0]",3.6447445888738166,0.7432657346069247,0.2045687650903668
194532,187415,10.0,-50.0,19,12,7,0,5,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[0.186073, 0.603758, 0.500101, 0.23387, 0.423315, 0.643247, 0.217351, 0.778861, 0.28212, 0.244717, 0.355299, 0.0, 0.247344, 0.0, 0.0, 0.251137, 0.529029, 0.547854, 0.532539]","[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",3.813404707067371,2.543832075262838,0.6973195025241453
194969,207559,10.0,-50.0,8,5,2,0,3,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[0.494391, 0.488601, 0.177513, 0.348212, 0.458215, 0.372861, 0.579645, 0.578132]","[1, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1]",0.9357177679676041,0.6115892448481404,0.660605206860513
195214,208946,10.0,-50.0,5,2,2,1,1,"[0.0, 1.0, 0.0, 0.0, 1.0]","[0.586992, 0.795455, 0.0, 0.0, 0.235302]","[0, 1, 0, 0, 1]","[1, 1, 0, 0, 0]",1.1094801464806896,1.3793655708144454,1.2453622363708412
196430,183658,10.0,-50.0,10,4,3,0,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.257163, 0.386683, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.40844, 0.64194]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2.3173904579122726,1.8559329346856515,0.8032295197382665
196562,186098,10.0,-50.0,7,6,4,0,2,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[1.0, 0.61124, 0.912929, 0.319157, 1.0, 0.103695, 0.432429]","[1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 0]",2.4031913505981137,1.7709187359355114,0.740804989089235
