
  Default parameters evaluation:
  Protocol         Predicted  Experiment      Error     N
differential_evolution step 191: f(x)= 0.041428467405001355
differential_evolution step 192: f(x)= 0.041428467405001355
differential_evolution step 193: f(x)= 0.041402222187364626
differential_evolution step 194: f(x)= 0.041402222187364626
differential_evolution step 195: f(x)= 0.041402222187364626
differential_evolution step 196: f(x)= 0.041402222187364626
differential_evolution step 197: f(x)= 0.041402222187364626
differential_evolution step 198: f(x)= 0.04116097016120152
differential_evolution step 199: f(x)= 0.04116097016120152
differential_evolution step 200: f(x)= 0.04116097016120152
differential_evolution step 201: f(x)= 0.04116097016120152
differential_evolution step 202: f(x)= 0.04116097016120152
differential_evolution step 203: f(x)= 0.04116097016120152
differential_evolution step 204: f(x)= 0.04116097016120152
differential_evolution step 205: f(x)= 0.04116097016120152
differential_evolution step 206: f(x)= 0.04116097016120152
differential_evolution step 207: f(x)= 0.04116097016120152
differential_evolution step 208: f(x)= 0.04116097016120152
differential_evolution step 209: f(x)= 0.04116097016120152
differential_evolution step 210: f(x)= 0.04116097016120152
differential_evolution step 211: f(x)= 0.04116097016120152
differential_evolution step 212: f(x)= 0.04111453757022944
differential_evolution step 213: f(x)= 0.04111453757022944
differential_evolution step 214: f(x)= 0.04111453757022944
differential_evolution step 215: f(x)= 0.04111453757022944
differential_evolution step 216: f(x)= 0.041101475459241546
differential_evolution step 217: f(x)= 0.041101475459241546
differential_evolution step 218: f(x)= 0.041101475459241546
differential_evolution step 219: f(x)= 0.041101475459241546
differential_evolution step 220: f(x)= 0.041101475459241546
differential_evolution step 221: f(x)= 0.041101475459241546
differential_evolution step 222: f(x)= 0.041101475459241546
differential_evolution step 223: f(x)= 0.041101475459241546
differential_evolution step 224: f(x)= 0.041101475459241546
differential_evolution step 225: f(x)= 0.041101475459241546
differential_evolution step 226: f(x)= 0.041101475459241546
differential_evolution step 227: f(x)= 0.041101475459241546
differential_evolution step 228: f(x)= 0.041101475459241546
differential_evolution step 229: f(x)= 0.041101475459241546
differential_evolution step 230: f(x)= 0.041101475459241546
differential_evolution step 231: f(x)= 0.041101475459241546
differential_evolution step 232: f(x)= 0.041101475459241546
differential_evolution step 233: f(x)= 0.041101475459241546
differential_evolution step 234: f(x)= 0.041101475459241546
differential_evolution step 235: f(x)= 0.041101475459241546
differential_evolution step 236: f(x)= 0.041101475459241546
differential_evolution step 237: f(x)= 0.041101475459241546
differential_evolution step 238: f(x)= 0.041101475459241546
differential_evolution step 239: f(x)= 0.041101475459241546
differential_evolution step 240: f(x)= 0.041101475459241546
differential_evolution step 241: f(x)= 0.04105715063719517
differential_evolution step 242: f(x)= 0.04105715063719517
differential_evolution step 243: f(x)= 0.04105715063719517
differential_evolution step 244: f(x)= 0.04105715063719517
differential_evolution step 245: f(x)= 0.04105715063719517
differential_evolution step 246: f(x)= 0.04105715063719517
differential_evolution step 247: f(x)= 0.04101303659586015
differential_evolution step 248: f(x)= 0.04101303659586015
differential_evolution step 249: f(x)= 0.04101303659586015
differential_evolution step 250: f(x)= 0.04101303659586015
differential_evolution step 251: f(x)= 0.04101303659586015
differential_evolution step 252: f(x)= 0.04101303659586015
